 train         node      observed        predicted
     y          302    0.125776E+002    0.130040E+002
     y          303    0.118845E+002    0.124883E+002
     y          511    0.126808E+002    0.124171E+002
     y          299    0.109508E+002    0.113454E+002
     y          244    0.984697E+001    0.104184E+002
     y          511    0.131042E+002    0.125766E+002
     y          298    0.129300E+002    0.124552E+002
     y          299    0.123458E+002    0.123534E+002
     y          298    0.115853E+002    0.121319E+002
     y          245    0.104043E+002    0.105723E+002
     y          302    0.127367E+002    0.127895E+002
     y          150    0.122779E+002    0.118730E+002
     y          150    0.112451E+002    0.118730E+002
     y          303    0.125425E+002    0.128086E+002
     y          297    0.130455E+002    0.128908E+002
     y          297    0.128739E+002    0.129043E+002
     y          296    0.116869E+002    0.114090E+002
     y          299    0.118636E+002    0.118440E+002
     y          299    0.121227E+002    0.115604E+002
     y          296    0.990354E+001    0.107053E+002
     y          303    0.120895E+002    0.118781E+002
     y          303    0.126916E+002    0.122129E+002
     y          511    0.119250E+002    0.127666E+002
     y          302    0.134225E+002    0.134474E+002
     y          299    0.120137E+002    0.117723E+002
     y          303    0.117361E+002    0.125299E+002
     y          299    0.120258E+002    0.117311E+002
     y          303    0.124171E+002    0.119184E+002
     y           72    0.128131E+002    0.127632E+002
     y          303    0.133535E+002    0.119605E+002
     y          297    0.132177E+002    0.122571E+002
     y          511    0.126215E+002    0.122051E+002
     y          302    0.128739E+002    0.137403E+002
     y          245    0.113737E+002    0.113458E+002
     y          150    0.100476E+002    0.108705E+002
     y          246    0.123884E+002    0.123732E+002
     y          303    0.136530E+002    0.121668E+002
     y           72    0.132879E+002    0.134064E+002
     y          302    0.133155E+002    0.136755E+002
     y          297    0.128049E+002    0.126632E+002
     y           29    0.109508E+002    0.106194E+002
     y          299    0.107364E+002    0.114296E+002
     y          303    0.137212E+002    0.132818E+002
     y          146    0.130058E+002    0.134679E+002
     y           72    0.128558E+002    0.130803E+002
     y           28    0.117753E+002    0.120158E+002
     y          299    0.123239E+002    0.117099E+002
     y          299    0.121894E+002    0.119844E+002
     y          297    0.125707E+002    0.122483E+002
     y          511    0.128077E+002    0.133156E+002
     y          299    0.124875E+002    0.118505E+002
     y           72    0.135606E+002    0.131284E+002
     y          296    0.101659E+002    0.108183E+002
     y          150    0.999884E+001    0.104637E+002
     y           29    0.107996E+002    0.108506E+002
     y          303    0.133047E+002    0.123532E+002
     y          299    0.114904E+002    0.118064E+002
     y          303    0.122784E+002    0.124985E+002
     y           72    0.131635E+002    0.129527E+002
     y          252    0.132149E+002    0.125035E+002
     y          146    0.134588E+002    0.132667E+002
     y          299    0.121543E+002    0.120899E+002
     y          511    0.130815E+002    0.124624E+002
     y          252    0.115617E+002    0.116541E+002
     y          511    0.128008E+002    0.124368E+002
     y          511    0.127911E+002    0.127207E+002
     y          511    0.129598E+002    0.125743E+002
     y          303    0.111199E+002    0.113521E+002
     y          302    0.128186E+002    0.123770E+002
     y           72    0.130281E+002    0.130425E+002
     y            8    0.131712E+002    0.128271E+002
     y          303    0.121007E+002    0.118411E+002
     y          303    0.122061E+002    0.119026E+002
     y          511    0.129116E+002    0.131552E+002
     y          511    0.123673E+002    0.126657E+002
     y          297    0.124761E+002    0.127347E+002
     y          303    0.127654E+002    0.127605E+002
     y          146    0.136292E+002    0.134973E+002
     y          303    0.119522E+002    0.115761E+002
     y           60    0.130562E+002    0.111961E+002
     y          511    0.110349E+002    0.118101E+002
     y          298    0.130058E+002    0.127723E+002
     y          150    0.101659E+002    0.102356E+002
     y          303    0.119829E+002    0.116927E+002
     y          511    0.106714E+002    0.120249E+002
     y          299    0.122784E+002    0.118294E+002
     y          511    0.123673E+002    0.119615E+002
     y          298    0.127038E+002    0.126180E+002
     y          299    0.129773E+002    0.125877E+002
     y          303    0.121308E+002    0.121492E+002
     y          299    0.120258E+002    0.122401E+002
     y          303    0.124029E+002    0.126852E+002
     y          511    0.134075E+002    0.128520E+002
     y          511    0.126443E+002    0.124545E+002
     y          303    0.122011E+002    0.120570E+002
     y          303    0.122643E+002    0.119380E+002
     y          298    0.130390E+002    0.127806E+002
     y          303    0.124090E+002    0.121136E+002
     y          303    0.124431E+002    0.125634E+002
     y          303    0.110021E+002    0.111946E+002
     y          302    0.124292E+002    0.123900E+002
     y           62    0.115617E+002    0.114002E+002
     y          511    0.123014E+002    0.123491E+002
     y          297    0.109151E+002    0.120676E+002
     y          511    0.127939E+002    0.123290E+002
     y          511    0.120436E+002    0.123613E+002
     y           19    0.114457E+002    0.111531E+002
     y          302    0.135645E+002    0.133784E+002
     y          150    0.122308E+002    0.126220E+002
